country,HDI,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,GNI per Capita,GNI per Capita minus HDI Rank,HDI Rank 2014,HDI Rank
Lesotho,0.49736795622745544,50.08,10.74118,6.126,3318.773796,-12,161,160
Senegal,0.493982965211962,66.929,9.46770044,2.759835808,2250.133629,3,163,162
Haiti,0.4928133516467123,63.119,9.1,5.179501441,1656.943154,9,164,163
Uganda,0.49283418500576015,59.209,10.01195,5.654355417,1670.190775,8,165,163
Sudan,0.49018834799123784,63.732,7.20526,3.522,3846.370533,-22,165,165
Togo,0.4873588958674444,60.175,11.96578,4.698788565,1262.17409,18,167,166
Benin,0.48509640600490583,59.76,10.686,3.51,1979.250627,1,168,167
Yemen,0.48240215643461815,64.053,8.9895,3.0,2300.272279,-4,159,168
Afghanistan,0.4793750059266718,60.704,10.05375,3.55,1870.827131,1,169,169
Malawi,0.475935463052037,63.88,10.75378,4.402,1073.290846,16,170,170
Côte d'Ivoire,0.4736792849912546,51.889,8.9473995,5.0,3162.738853,-20,172,171
Djibouti,0.4731342289757238,62.297,6.29223,4.07,3216.176031,-22,171,172
Gambia,0.45157450055782394,60.463,8.94,3.292,1540.829529,3,173,173
Ethiopia,0.44775045901810206,64.602,8.35152,2.580780019,1522.954782,5,174,174
Mali,0.44210869299443994,58.474,8.42596,2.333416418,2218.360673,-9,175,175
Congo (Democratic Republic of the),0.43546466961353086,59.057,9.75,6.117152596,679.6312234,15,178,176
Liberia,0.4268985020828583,61.188,9.903696,4.442,682.5904279,13,177,177
Guinea-Bissau,0.42383992274650606,55.486,9.2,2.917138913,1369.460824,3,179,178
Eritrea,0.4201534873472653,64.186,4.99466,3.859551,1489.850738,1,181,179
Sierra Leone,0.4203122604112988,51.317,9.468868,3.332,1529.176083,-1,176,179
Mozambique,0.4175901613435488,55.478,9.06883,3.499115605,1098.435768,4,182,181
South Sudan,0.4183033395726383,56.134,4.87162,4.84913,1882.498799,-12,179,181
Guinea,0.41418630622159636,59.215,8.81527,2.568481492,1058.219876,4,182,183
Burundi,0.40376541480557104,57.118,10.64743,2.968889261,691.1825738,5,184,184
Burkina Faso,0.4017401041446381,59.007,7.69281,1.441531766,1537.499309,-8,185,185
Chad,0.3960732244685329,51.897,7.30026,2.323327738,1990.871405,-19,186,186
Niger,0.35264066960226614,61.936,5.42265,1.658,889.4556458,1,187,187
Central African Republic,0.3524402001546794,51.458,7.09898,4.23,587.4739607,4,188,188
