country_code,city,city_id,rel_id,lat,lon,population,wikidata
DE,Siegen,76,62403,50.8749804,8.0227233,99403.0,Q3126
DE,Hildesheim,77,1176503,52.1521636,9.9513046,99390.0,Q3185
DE,Salzgitter,78,62659,52.1503721,10.3593147,98197.0,Q3200
DE,Kaiserslautern,79,62652,49.4432174,7.7689951,97162.0,Q3758
DE,Schwerin,80,62685,53.6288297,11.4148038,91583.0,Q1709
FR,Paris,0,71525,48.8566101,2.3514992,2243833.0,Q90
FR,Marseille,1,76469,43.2961743,5.3699525,855393.0,Q23482
FR,Lyon,2,120965,45.7578137,4.8320114,500715.0,Q456
FR,Toulouse,3,35738,43.6044622,1.4442469,441802.0,Q7880
FR,Nice,4,170100,43.7009358,7.2683912,343304.0,Q33959
FR,Nantes,5,59874,47.2186371,-1.5541362,300614.0,Q12191
FR,Montpellier,6,28722,43.6112422,3.8767337,276054.0,Q6441
FR,Strasbourg,7,71033,48.584614,7.7507127,271782.0,Q6602
FR,Bordeaux,8,105270,44.841225,-0.5800364,241287.0,Q1479
FR,Lille,9,58404,50.6305089,3.0706414,227560.0,Q648
FR,Rennes,10,54517,48.1113387,-1.6800198,207178.0,Q647
FR,Reims,11,36458,49.2577886,4.031926,181893.0,Q41876
FR,Le Havre,12,104492,49.4938975,0.1079732,175497.0,Q42810
FR,Saint-Étienne,13,117905,45.4401467,4.3873058,171260.0,Q42716
FR,Toulon,14,35280,43.1257311,5.9304919,164532.0,Q44160
FR,Grenoble,15,80348,45.182151,5.7274722,155637.0,Q1289
FR,Dijon,16,74090,47.3215806,5.0414701,151672.0,Q7003
FR,Angers,17,178351,47.4739884,-0.5515588,149017.0,Q38380
FR,Villeurbanne,18,120989,45.7733105,4.8869339,145150.0,Q582
FR,Le Mans,19,107435,48.0078497,0.1997933,143240.0,Q1476
FR,Nîmes,20,378685,43.8374249,4.3600687,142205.0,Q42807
FR,Aix-en-Provence,21,70279,43.5298424,5.4474738,141438.0,Q47465
FR,Brest,22,1076124,48.3905283,-4.4860088,141303.0,Q12193
FR,Clermont-Ferrand,23,110866,45.7774551,3.0819427,139860.0,Q42168
FR,Limoges,24,114172,45.8354243,1.2644847,139150.0,Q45656
FR,Saint-Denis,25,87922,-20.8799889,55.448137,138600.0,Q160506
FR,Tours,26,76306,47.3900474,0.6889268,134817.0,Q288
FR,Amiens,27,114347,49.8941708,2.2956951,133327.0,Q41604
FR,Annecy,28,6791758,45.908795,6.1198672,121809.0,Q50189
FR,Metz,29,450381,49.1196964,6.1763552,120738.0,Q22690
FR,Perpignan,30,18000,42.6953868,2.8844713,117419.0,Q6730
FR,Besançon,31,103599,47.237953,6.0243246,116914.0,Q37776
FR,Boulogne-Billancourt,32,72020,48.8356649,2.240206,114205.0,Q172455
FR,Orléans,33,147559,47.9027336,1.9086066,114167.0,Q6548
FR,Rouen,34,75628,49.4404591,1.0939658,110933.0,Q30974
FR,Mulhouse,35,38246,47.7494188,7.3399355,109588.0,Q79815
FR,Saint-Denis,36,192468,48.935773,2.3580232,106785.0,Q47045
FR,Caen,37,149197,49.1828008,-0.3690815,106538.0,Q41185
FR,Nancy,38,52399,48.6937223,6.1834097,105421.0,Q40898
