country_code,country,city,city_id,rel_id,population,wikidata,lat,lon,parking,place_of_worship,school,bench,restaurant,fuel,cafe,fast_food,bank,waste_basket,post_box,pharmacy,bicycle_parking,toilets,kindergarten,recycling,shelter,grave_yard,drinking_water,post_office,pub,bar,hospital,atm,parking_space,police,hunting_stand,vending_machine,telephone,townhall,fire_station,fountain,public_building,doctors,community_centre,library,clinic,social_facility,car_wash,dentist,waste_disposal,marketplace,bus_station,university,college,parking_entrance,swimming_pool,theatre,taxi,veterinary
DE,Germany,Essen,8,62713,569884.0,Q2066,51.457087,7.011429,2031,222,329,1977,452,86,154,293,122,443,321,138,477,94,211,1420,259,7,1,43,142,20,28,99,68,21,24,211,231,8,21,56,41,92,23,28,2,113,23,46,1,11,7,3,20,150,0,19,59,13
DE,Germany,Bremen,9,62559,551415.0,Q24879,53.0758196,8.8071646,2415,177,195,2104,534,95,229,385,137,603,440,124,935,137,233,365,98,2,2,53,267,58,12,150,100,39,27,431,359,4,27,33,0,182,23,32,13,108,42,79,7,27,6,9,7,64,0,34,53,24
DE,Germany,Dresden,10,191645,538678.0,Q1731,51.0493286,13.7381437,2450,117,235,3280,591,64,236,317,96,829,626,122,1277,110,277,758,139,11,6,55,103,83,6,104,106,20,90,706,260,14,36,136,7,169,30,35,9,73,47,91,48,14,1,15,20,110,2,39,70,20
DE,Germany,Nürnberg,11,62780,526920.0,Q2090,49.453872,11.077297999999999,1617,160,141,942,721,88,271,330,132,372,320,130,367,92,228,556,104,7,13,48,188,106,13,57,67,10,8,455,294,5,22,77,27,80,14,20,2,61,26,41,7,11,5,17,0,64,0,27,42,11
DE,Germany,Hannover,12,59418,525875.0,Q1715,52.374477899999995,9.738553199999998,1565,180,191,1247,540,92,179,230,126,252,406,122,1261,129,186,301,73,4,14,51,134,62,54,53,66,39,5,208,230,6,22,152,94,105,17,31,1,114,20,43,24,11,6,139,8,50,0,32,121,20
DE,Germany,Leipzig,13,62649,520838.0,Q2079,51.3391827,12.3810549,2005,135,220,1678,578,74,206,466,83,381,312,135,867,98,231,393,344,11,1,56,128,73,5,85,339,22,22,120,162,16,35,58,33,140,25,60,18,79,75,83,42,7,5,62,7,29,0,36,52,18
DE,Germany,Duisburg,14,62456,486855.0,Q2100,51.434999,6.759562,1272,160,177,808,209,78,78,167,83,180,146,98,96,31,90,130,91,7,0,25,80,4,23,24,38,20,5,124,95,11,28,31,15,56,9,15,3,51,25,15,1,10,2,6,8,92,0,5,18,4
DE,Germany,Bochum,15,62644,371075.0,Q2103,51.4818111,7.219663499999999,1767,147,162,735,304,64,108,187,74,263,154,93,120,76,117,181,450,3,9,29,82,25,19,45,12,11,3,93,92,4,26,29,17,69,24,71,1,39,30,28,11,12,0,9,9,48,0,14,14,8
DE,Germany,Wuppertal,16,62478,361077.0,Q2107,51.264018,7.178037400000001,912,158,149,790,211,63,78,119,63,444,206,62,139,30,99,324,70,10,3,35,70,14,14,37,11,12,6,260,114,4,24,18,19,55,18,14,1,48,28,11,0,8,1,4,7,46,0,10,25,4
DE,Germany,Bielefeld,17,62646,328864.0,Q2112,52.010877,8.540868,1570,141,200,1736,257,74,139,170,82,827,296,73,379,52,155,197,36,5,2,34,86,16,23,46,131,23,24,375,194,17,35,24,10,123,35,10,13,92,12,59,4,5,0,10,6,19,0,11,27,11
DE,Germany,Bonn,18,62508,320128.0,Q586,50.735851000000004,7.10066,1814,201,238,1084,399,51,140,167,81,406,301,104,526,24,212,324,86,6,44,40,82,24,13,57,2,12,45,308,152,8,23,53,45,74,17,37,10,50,24,44,5,3,4,41,6,32,0,28,35,10
DE,Germany,Mannheim,19,62691,307640.0,Q2119,49.489591,8.467236,1618,131,169,826,425,47,197,242,95,297,185,87,191,54,145,252,113,2,11,33,190,64,15,38,75,24,14,275,136,14,18,46,122,418,23,21,9,120,34,146,11,4,1,60,6,35,0,19,21,17
DE,Germany,Münster,20,62591,300000.0,Q2742,51.9625101,7.6251879,1462,109,152,867,264,47,138,163,72,390,177,87,357,53,117,194,97,10,4,31,64,53,13,39,11,7,24,109,78,1,26,30,21,42,19,33,5,42,23,28,8,6,1,138,26,36,0,6,32,10
DE,Germany,Augsburg,21,62407,293415.0,Q2749,48.3668041,10.8986971,1253,124,129,1198,345,49,115,127,74,248,226,79,208,105,138,481,46,3,23,40,73,39,12,44,52,8,29,479,175,2,12,51,54,302,31,15,0,55,26,104,4,4,2,5,2,51,0,13,29,19
DE,Germany,Karlsruhe,22,62518,283959.0,Q1040,49.014068,8.404437,1938,147,157,1559,432,47,148,163,100,580,220,74,565,98,139,562,147,42,38,34,96,48,8,81,827,25,103,687,173,10,21,181,29,100,46,31,3,55,25,49,32,7,4,13,20,108,2,19,12,8
DE,Germany,Wiesbaden,23,62496,273871.0,Q1721,50.0833,8.25,874,106,157,865,319,52,80,102,65,82,166,70,42,35,101,253,78,4,11,22,63,31,13,21,0,13,95,158,92,8,22,35,33,59,16,10,1,21,18,19,9,1,3,7,3,25,0,5,19,8
DE,Germany,Gelsenkirchen,24,62522,260368.0,Q2765,51.5110321,7.096012400000001,773,97,135,235,131,45,32,73,64,86,44,71,41,20,80,167,28,0,1,22,32,2,17,9,1686,10,1,19,40,6,11,23,7,30,7,5,1,20,7,7,3,3,0,15,15,37,0,6,5,5
DE,Germany,Mönchengladbach,25,62410,255430.0,Q2758,51.19469829999999,6.435364099999999,1291,93,116,249,204,49,59,57,69,58,97,70,19,14,113,216,47,7,1,21,60,12,9,13,7,10,31,19,28,5,26,17,7,28,9,5,3,15,39,5,0,2,4,0,12,11,0,8,12,7
DE,Germany,Braunschweig,26,62531,247227.0,Q2773,52.2640651,10.525291000000001,1361,105,169,891,247,46,90,129,61,286,195,68,755,47,109,339,161,6,11,33,86,11,6,38,4,21,32,141,82,3,37,30,46,90,23,22,0,55,20,40,5,9,1,40,6,54,0,10,42,8
DE,Germany,Kiel,27,27021,246306.0,Q1707,54.3216753,10.137185800000001,1027,73,93,915,173,33,105,160,56,141,192,69,386,37,79,180,8,0,2,23,63,41,9,37,476,15,6,102,83,3,13,11,22,56,13,15,2,39,14,29,4,4,2,6,4,30,0,9,6,11
DE,Germany,Chemnitz,28,62594,243089.0,Q2795,50.83226079999999,12.9252977,1359,67,118,815,199,48,53,126,50,148,216,61,105,22,78,254,77,4,2,26,52,14,6,40,4,8,30,105,86,9,19,20,8,71,7,11,7,20,32,37,23,0,0,6,0,37,0,12,13,6
DE,Germany,Aachen,29,62564,241683.0,Q1017,50.776351,6.083862,988,128,84,855,275,39,101,177,71,230,148,68,206,47,134,245,67,3,4,21,112,29,13,91,9,14,19,304,130,8,14,57,6,76,17,26,2,67,23,27,11,8,1,15,13,12,0,12,18,6
DE,Germany,Halle (Saale),30,62638,231565.0,Q2814,51.4825041,11.970545199999998,1055,51,111,477,179,39,71,134,42,166,92,75,122,19,65,178,27,2,2,27,42,33,6,55,7,8,6,53,54,4,14,30,26,71,2,33,8,31,18,25,2,2,1,50,3,36,0,11,42,9
DE,Germany,Magdeburg,31,62481,231021.0,Q1733,52.1315889,11.6399609,1445,61,81,606,160,36,64,143,49,57,183,54,646,39,77,252,27,7,1,24,44,18,6,33,83,15,0,114,96,3,12,46,36,107,21,9,2,34,31,51,9,1,1,5,1,22,0,12,37,6
DE,Germany,Krefeld,32,62748,222058.0,Q2805,51.3331205,6.562334299999999,790,78,100,349,156,46,46,102,45,81,140,62,36,12,66,147,44,3,2,10,56,9,8,19,10,9,1,146,82,6,11,16,2,96,6,4,1,22,4,19,0,5,1,1,2,13,0,6,18,9
DE,Germany,Freiburg im Breisgau,33,62768,220286.0,Q2833,47.9960901,7.849400500000001,893,100,100,876,302,37,164,100,64,157,123,70,256,38,95,214,69,0,36,23,47,33,16,34,17,18,52,234,142,11,15,107,18,63,14,10,25,40,18,25,4,14,5,21,28,17,0,10,20,6
DE,Germany,Lübeck,34,27027,212958.0,Q2843,53.866443999999994,10.684738000000001,931,83,103,1079,249,47,92,190,52,428,235,51,405,73,162,493,20,4,5,96,93,21,8,49,464,24,41,620,81,2,27,41,43,68,7,8,4,29,20,48,18,9,4,4,3,13,0,18,44,12
DE,Germany,Erfurt,35,62745,212203.0,Q1729,50.9777974,11.0287364,1286,96,110,500,203,32,74,123,48,143,107,49,203,57,105,222,53,12,6,27,39,14,2,27,99,9,28,66,59,3,29,59,66,88,16,13,3,24,19,30,1,0,4,5,5,15,0,16,10,7
DE,Germany,Oberhausen,36,62734,209292.0,Q2838,51.469613700000004,6.851443499999999,417,64,114,402,92,36,33,111,31,31,61,47,73,23,46,48,48,3,3,15,30,4,9,20,8,4,1,13,37,2,7,19,39,13,7,3,0,13,15,7,0,5,3,0,3,28,0,5,6,3
DE,Germany,Rostock,37,62405,207561.0,Q2861,54.09244449999999,12.1286127,2043,44,103,950,250,34,118,162,37,294,138,50,591,137,88,311,131,1,4,44,56,25,11,47,13,17,7,315,61,1,11,37,174,89,10,23,5,61,22,57,57,9,3,55,2,52,0,10,20,9
DE,Germany,Kassel,38,62598,194087.0,Q2865,51.3090209,9.4762981,1103,101,97,1108,214,40,98,142,52,237,128,50,336,33,69,473,113,2,1,22,68,43,12,52,13,11,8,115,75,2,10,64,8,54,23,13,0,39,16,24,1,3,1,10,5,32,0,14,19,10
DE,Germany,Mainz,39,62630,192208.0,Q1720,49.99999520000001,8.2710237,1062,98,74,358,243,31,71,129,58,111,123,60,184,38,91,47,37,4,2,25,80,27,2,48,16,7,7,114,60,7,13,55,55,59,17,10,5,21,15,32,8,3,0,15,11,30,0,9,17,6
DE,Germany,Hagen,40,1800297,186000.0,Q2871,51.3582945,7.473296,1161,74,84,617,170,38,61,97,46,272,77,39,44,32,64,120,161,9,0,13,45,9,8,20,22,10,20,126,98,6,19,23,18,17,12,6,1,32,25,15,2,9,0,4,4,27,0,5,10,5
DE,Germany,Saarbrücken,41,1187159,177201.0,Q1724,49.234362,6.996378999999999,1030,96,103,616,272,34,92,106,62,281,118,51,177,53,56,161,39,17,2,24,58,64,15,36,46,14,84,146,63,8,24,31,5,59,14,9,2,22,24,24,0,3,4,43,0,27,0,12,15,7
DE,Germany,Hamm,42,62499,176048.0,Q2880,51.6804093,7.815197,640,84,71,698,117,35,31,64,43,292,129,41,94,17,92,225,42,8,2,16,38,7,13,10,0,10,1,152,39,3,29,28,13,34,17,8,2,36,15,15,7,3,2,1,1,7,0,5,6,6
DE,Germany,Potsdam,43,62369,175500.0,Q1711,52.4009309,13.0591397,664,38,78,685,214,24,103,112,32,124,184,41,303,56,85,173,15,9,9,36,26,20,4,35,104,13,45,162,51,9,16,38,3,84,14,12,7,29,14,45,8,2,1,13,2,69,0,15,20,8
DE,Germany,Osnabrück,44,62631,167730.0,Q2916,52.266837,8.049741000000001,497,77,90,248,186,36,96,116,47,86,79,49,110,14,54,97,34,1,0,19,78,28,9,18,1,13,5,248,59,1,13,24,19,55,10,10,5,30,10,35,1,7,1,136,16,38,0,6,12,3
DE,Germany,Mülheim an der Ruhr,45,62385,167108.0,Q2899,51.4272925,6.8829192,624,51,56,965,121,35,40,55,24,182,89,40,29,36,57,188,131,2,2,12,18,2,3,20,10,7,7,31,36,3,3,43,8,20,23,9,1,11,16,24,0,1,0,0,3,17,2,6,11,11
