country_code,country,city,city_id,rel_id,population,wikidata,lat,lon,parking,place_of_worship,school,bench,restaurant,fuel,cafe,fast_food,bank,waste_basket,post_box,pharmacy,bicycle_parking,toilets,kindergarten,recycling,shelter,grave_yard,drinking_water,post_office,pub,bar,hospital,atm,parking_space,police,hunting_stand,vending_machine,telephone,townhall,fire_station,fountain,public_building,doctors,community_centre,library,clinic,social_facility,car_wash,dentist,waste_disposal,marketplace,bus_station,university,college,parking_entrance,swimming_pool,theatre,taxi,veterinary
DE,Germany,Kaiserslautern,79,62652,97162.0,Q3758,49.4432174,7.7689951,681,71,42,367,152,21,49,83,40,88,66,27,28,25,52,125,23,0,0,17,45,23,2,41,0,4,37,179,41,7,10,54,10,48,6,13,1,20,10,13,0,1,0,3,0,3,0,3,10,7
DE,Germany,Schwerin,80,62685,91583.0,Q1709,53.628829700000004,11.4148038,464,24,44,210,96,21,34,59,27,23,51,27,39,22,25,89,33,2,1,13,24,8,1,12,10,7,46,45,17,2,5,20,76,14,3,7,5,4,7,6,2,0,1,1,1,1,0,4,3,4
FR,France,Paris,0,71525,2243833.0,Q90,48.856610100000005,2.3514992,509,371,993,3052,5933,95,1652,1339,929,1478,1397,1011,2824,679,320,693,45,1,709,194,343,945,90,446,1753,77,0,1007,46,21,26,238,71,143,97,122,48,191,13,30,3,104,18,90,193,112,8,246,176,59
FR,France,Marseille,1,76469,855393.0,Q23482,43.2961743,5.3699525,1084,177,508,964,535,73,152,204,155,258,219,328,107,37,210,476,862,2,51,75,54,160,32,89,33,22,0,54,7,21,19,77,27,58,108,23,4,115,23,6,37,19,1,32,46,60,777,42,30,15
FR,France,Lyon,2,120965,500715.0,Q456,45.75781370000001,4.8320114,558,103,285,942,896,20,277,199,190,326,222,178,1185,145,93,481,40,0,209,43,108,167,26,105,1436,24,0,82,3,13,6,69,11,12,20,28,4,20,9,4,4,24,1,39,37,126,0,41,57,13
FR,France,Toulouse,3,35738,441802.0,Q7880,43.6044622,1.4442469,1217,88,294,471,679,35,130,311,179,315,285,167,355,81,226,301,27,1,155,37,54,164,34,91,258,14,0,39,3,26,2,57,24,55,24,54,1,40,38,11,62,13,7,65,41,63,5,32,4,10
FR,France,Nice,4,170100,343304.0,Q33959,43.700935799999996,7.2683912,221,77,172,198,386,34,83,102,143,104,118,161,43,32,11,173,47,2,36,32,15,69,23,23,0,20,1,6,1,7,5,29,23,7,1,14,1,3,4,2,0,33,6,39,1,7,4,13,7,7
FR,France,Nantes,5,59874,300614.0,Q12191,47.2186371,-1.5541361999999999,545,66,180,1199,504,19,84,153,109,1313,154,78,1721,89,107,263,274,1,33,24,80,140,19,58,88,7,0,383,7,12,2,27,19,32,27,47,3,31,8,5,40,11,3,27,37,41,3,14,7,6
FR,France,Montpellier,6,28722,276054.0,Q6441,43.6112422,3.8767337,724,65,158,529,481,22,112,224,115,224,81,100,376,55,129,167,108,0,96,21,25,98,24,42,527,11,0,66,11,7,2,110,17,126,66,24,2,62,8,18,33,20,1,82,29,70,5,17,4,7
FR,France,Strasbourg,7,71033,271782.0,Q6602,48.584614,7.750712700000001,743,99,126,392,453,16,74,120,103,101,114,78,411,18,31,163,42,0,17,30,28,70,16,93,259,9,1,21,0,12,4,24,57,10,5,11,2,6,5,3,1,2,3,107,13,19,3,14,7,4
FR,France,Bordeaux,8,105270,241287.0,Q1479,44.841225,-0.5800364,215,44,176,261,404,17,86,104,81,149,170,104,348,56,28,180,4,3,49,27,29,89,13,88,12,7,0,58,2,3,2,30,27,14,27,16,1,9,2,4,1,7,3,11,26,39,1,18,10,3
FR,France,Lille,9,58404,227560.0,Q648,50.630508899999995,3.0706414,528,58,151,231,392,18,125,176,106,75,70,84,650,12,69,5,10,0,21,22,20,203,28,96,577,7,0,10,2,17,4,18,22,33,22,22,4,17,5,4,1,4,0,18,14,30,0,14,4,6
FR,France,Rennes,10,54517,207178.0,Q647,48.111338700000005,-1.6800198,915,49,120,999,296,17,78,114,96,644,119,62,920,98,21,806,4,1,12,16,52,119,12,82,75,8,0,462,2,2,4,22,5,40,32,25,1,51,14,16,116,17,1,19,12,52,0,14,10,11
FR,France,Reims,11,36458,181893.0,Q41876,49.2577886,4.031926,225,40,106,18,70,20,6,17,22,28,26,27,11,10,6,22,4,1,14,15,4,11,16,6,6,4,0,4,1,2,5,31,41,1,7,9,0,2,7,2,0,3,1,12,8,0,1,3,1,4
FR,France,Le Havre,12,104492,175497.0,Q42810,49.493897499999996,0.10797319999999999,293,40,126,89,117,14,51,74,49,27,16,32,104,23,5,59,8,0,2,15,18,51,8,11,6,4,0,5,0,6,2,27,4,9,8,18,2,3,4,0,3,8,2,6,3,33,3,5,3,6
FR,France,Saint-Étienne,13,117905,171260.0,Q42716,45.4401467,4.3873058,197,42,138,66,149,15,91,98,69,71,54,57,100,24,45,137,5,1,24,22,21,49,4,8,121,7,0,33,1,8,3,15,0,15,44,15,2,69,4,1,0,19,3,12,35,16,4,25,5,4
FR,France,Toulon,14,35280,164532.0,Q44160,43.125731099999996,5.9304919,126,30,47,44,82,14,12,9,27,29,29,30,8,3,38,42,2,0,15,15,14,20,7,11,24,7,1,0,5,4,3,22,7,3,7,5,0,11,2,0,0,9,1,2,1,12,4,3,3,1
FR,France,Grenoble,15,80348,155637.0,Q1289,45.182151,5.7274722,436,32,117,714,442,7,130,212,102,625,108,63,793,48,50,183,426,0,84,13,36,87,7,52,22,5,0,123,0,4,1,24,21,54,15,18,4,43,2,11,4,9,2,12,20,54,0,23,7,6
FR,France,Dijon,16,74090,151672.0,Q7003,47.321580600000004,5.0414701,333,35,146,387,208,17,43,81,67,236,60,56,203,33,7,47,9,0,19,11,45,42,6,22,12,6,0,67,19,6,2,94,5,11,20,15,3,4,3,1,0,2,0,4,20,13,1,9,3,3
FR,France,Angers,17,178351,149017.0,Q38380,47.473988399999996,-0.5515588,307,36,81,138,98,11,25,31,40,238,25,44,355,24,10,42,32,0,6,15,13,42,3,23,21,6,0,3,0,3,1,12,2,13,16,12,2,16,4,7,4,3,2,20,17,9,3,5,1,4
FR,France,Villeurbanne,18,120989,145150.0,Q582,45.7733105,4.886933900000001,202,21,66,208,89,8,25,53,44,31,31,41,252,24,31,90,8,0,20,11,4,19,3,36,47,2,0,23,5,2,2,4,7,4,4,8,2,1,3,1,3,10,1,9,2,22,11,6,5,3
FR,France,Le Mans,19,107435,143240.0,Q1476,48.0078497,0.1997933,603,36,101,195,93,19,29,29,40,169,46,34,439,24,36,62,1,0,7,11,2,29,12,14,3,7,0,20,0,4,2,4,26,3,19,8,0,2,6,1,7,1,3,9,5,7,1,6,2,1
FR,France,Nîmes,20,378685,142205.0,Q42807,43.8374249,4.3600687,286,37,91,172,78,23,26,46,47,78,51,35,12,11,13,77,0,1,19,8,34,12,5,5,535,7,0,2,4,2,2,27,20,3,2,5,3,1,5,0,0,0,1,5,4,7,1,6,1,2
FR,France,Aix-en-Provence,21,70279,141438.0,Q47465,43.5298424,5.4474738,754,30,76,85,170,18,22,49,40,38,47,39,66,10,17,96,47,0,9,12,5,17,8,47,37,4,0,5,6,9,2,61,12,16,11,5,2,6,8,4,25,2,3,16,7,21,12,17,4,3
FR,France,Brest,22,1076124,141303.0,Q12193,48.3905283,-4.4860088,545,32,151,251,187,13,11,40,53,166,39,54,123,47,13,370,5,0,3,15,172,24,11,20,470,8,0,244,3,7,3,5,74,11,36,13,3,7,4,0,103,16,1,13,5,8,1,9,5,4
FR,France,Clermont-Ferrand,23,110866,139860.0,Q42168,45.777455100000005,3.0819427000000004,409,42,85,335,213,18,66,89,67,239,62,54,165,16,36,95,14,0,18,16,17,66,8,25,18,7,0,51,0,3,3,63,30,8,34,6,0,10,4,1,0,5,2,14,11,14,0,9,2,3
FR,France,Limoges,24,114172,139150.0,Q45656,45.83542429999999,1.2644847,329,25,30,88,194,23,75,74,35,52,58,38,24,20,4,125,3,0,2,17,6,69,11,4,0,2,0,119,0,1,2,9,8,2,2,8,1,1,5,0,0,3,2,29,5,0,1,3,0,1
FR,France,Saint-Denis,25,87922,138600.0,Q160506,-20.8799889,55.448137,71,9,54,249,84,2,32,29,24,115,32,28,23,7,20,18,20,0,9,8,3,15,7,24,31,4,0,37,4,2,1,2,6,6,7,7,1,5,2,2,1,1,1,3,6,9,0,2,1,0
FR,France,Tours,26,76306,134817.0,Q288,47.3900474,0.6889268,494,42,112,269,175,14,43,58,51,155,63,45,881,25,6,180,129,0,23,21,28,77,3,21,80,6,0,108,7,5,2,25,17,7,15,9,4,37,5,0,6,8,1,21,20,44,1,11,2,4
FR,France,Amiens,27,114347,133327.0,Q41604,49.8941708,2.2956951,193,39,74,160,131,11,49,92,44,64,44,44,81,12,26,121,4,1,1,8,10,106,9,5,9,6,0,20,0,5,3,7,44,10,3,8,0,3,8,1,0,4,2,14,2,8,2,18,0,3
FR,France,Annecy,28,6791758,121809.0,Q50189,45.908795,6.1198672,241,24,75,134,127,17,26,22,40,56,35,41,121,27,17,70,1,0,31,12,9,16,2,14,12,7,0,2,4,5,0,22,12,3,7,11,0,2,5,1,3,5,2,10,7,13,1,5,1,1
FR,France,Metz,29,450381,120738.0,Q22690,49.119696399999995,6.176355200000001,331,57,78,147,184,16,37,83,58,89,72,39,102,18,23,78,14,0,8,10,16,53,5,22,3,6,0,36,2,11,1,33,4,37,12,12,3,17,7,7,0,5,5,21,14,61,0,5,3,3
FR,France,Perpignan,30,18000,117419.0,Q6730,42.695386799999994,2.8844713,194,21,84,216,67,12,13,19,7,135,14,15,137,9,6,66,0,0,7,16,3,13,7,2,108,5,0,5,2,2,2,16,13,3,10,5,0,9,4,0,1,3,2,3,5,11,0,5,1,2
FR,France,Besançon,31,103599,116914.0,Q37776,47.237953000000005,6.0243246,388,49,81,164,83,17,26,43,27,60,48,46,79,12,35,95,0,0,5,11,9,24,6,32,0,4,0,8,3,2,1,23,9,13,6,11,0,9,2,0,1,5,3,11,19,4,2,9,1,1
FR,France,Boulogne-Billancourt,32,72020,114205.0,Q172455,48.8356649,2.240206,45,16,53,90,234,3,35,96,56,88,64,37,124,11,18,133,2,0,15,8,5,8,10,38,268,2,0,18,0,1,1,7,13,7,5,7,2,9,1,2,0,3,0,1,5,11,0,3,2,6
FR,France,Orléans,33,147559,114167.0,Q6548,47.9027336,1.9086066000000002,207,32,51,90,163,7,28,67,61,46,45,31,252,18,7,83,3,1,15,13,14,62,1,11,12,2,0,4,16,4,2,10,18,7,6,7,1,10,6,1,5,3,4,4,7,4,3,6,1,3
FR,France,Rouen,34,75628,110933.0,Q30974,49.4404591,1.0939658,170,39,78,201,124,8,39,50,42,465,61,27,145,19,20,242,9,0,0,11,10,50,9,49,49,9,0,82,6,1,2,14,2,7,6,6,2,15,7,3,262,5,1,8,6,13,6,7,10,2
FR,France,Mulhouse,35,38246,109588.0,Q79815,47.749418799999994,7.339935499999999,210,37,57,37,57,13,14,12,23,0,20,34,483,11,19,13,23,0,11,11,4,5,4,8,2,7,0,0,15,4,2,2,17,8,12,8,2,17,4,0,0,0,1,12,1,3,1,3,2,1
FR,France,Saint-Denis,36,192468,106785.0,Q47045,48.935773,2.3580232000000003,216,37,58,17,150,25,21,49,31,32,4,30,1,4,3,27,4,0,6,11,3,4,2,3,5,3,0,1,0,10,2,4,32,22,2,10,4,1,2,4,1,4,5,7,2,0,149,2,2,3
FR,France,Caen,37,149197,106538.0,Q41185,49.182800799999995,-0.3690815,373,35,86,253,204,9,26,35,66,263,74,39,433,34,25,115,6,1,2,12,14,65,11,42,27,6,0,24,23,1,4,11,17,5,14,9,0,11,3,3,0,10,1,8,14,25,0,8,2,4
FR,France,Nancy,38,52399,105421.0,Q40898,48.6937223,6.1834097,183,39,64,377,195,8,27,113,56,265,105,45,261,19,40,286,3,0,11,12,15,56,14,38,667,5,0,474,1,6,3,19,2,10,15,19,3,39,5,3,24,4,0,21,19,12,0,10,10,7
FR,France,Argenteuil,39,103245,104282.0,Q181946,48.94790689999999,2.2481797,37,11,39,136,21,11,18,14,20,57,15,20,28,2,4,25,12,0,0,8,0,7,3,5,4,4,0,20,0,1,1,2,7,1,13,2,0,3,1,0,1,4,1,3,0,4,1,1,0,1
FR,France,Montreuil,40,129423,104139.0,Q193370,48.8623357,2.4412184,24,8,51,10,83,6,14,18,14,4,44,33,25,4,10,85,0,0,5,8,0,31,1,13,5,1,0,2,0,1,1,1,3,4,0,4,0,0,2,0,1,2,0,1,0,4,0,5,0,3
FR,France,Dunkerque,41,139610,92005.0,Q45797,51.0347708,2.3772525,289,31,84,49,132,8,24,46,34,4,2,44,49,10,0,10,1,0,1,9,5,58,2,2,16,7,0,0,0,11,5,4,3,6,21,5,0,2,4,5,2,3,0,4,1,5,3,2,1,5
FR,France,Nouméa,42,377752,91386.0,Q9733,-22.2745264,166.442419,766,21,76,87,173,39,24,24,36,29,25,29,9,19,12,14,73,2,12,17,6,25,8,26,2,13,0,1,34,4,3,3,79,25,5,6,2,10,9,3,6,5,8,4,10,3,17,5,6,10
FR,France,Avignon,43,102478,89683.0,Q6397,43.9493143,4.806032900000001,675,33,52,164,230,16,21,78,41,64,20,24,76,11,6,44,23,1,4,11,6,30,4,5,541,8,0,42,2,8,1,16,17,8,3,3,1,8,5,3,22,2,4,4,1,10,6,95,3,2
FR,France,Poitiers,44,132348,87435.0,Q6616,46.580259600000005,0.340196,695,35,97,424,111,13,21,23,38,278,93,33,289,46,16,188,111,0,8,9,12,39,18,19,345,6,0,20,11,6,3,16,67,23,8,9,1,4,6,7,1,1,1,36,23,31,0,1,3,4
FR,France,Fort-de-France,45,290031,87216.0,Q81621,14.6027962,-61.06767239999999,45,19,19,29,62,18,16,33,19,14,4,28,0,5,0,4,2,0,0,6,0,11,6,5,16,4,0,0,3,3,0,6,2,1,1,4,2,0,2,1,1,3,3,1,0,2,101,2,4,1
FR,France,Pau,46,162431,79798.0,Q132671,43.2957547,-0.36856679999999997,659,25,45,1466,97,11,9,16,27,784,28,26,123,14,13,211,0,1,6,6,8,18,9,1,8,4,0,121,7,1,2,10,28,2,4,10,1,2,5,0,11,3,0,8,12,7,0,7,0,0
FR,France,Calais,47,286380,73636.0,Q6454,50.9488,1.87468,130,11,16,12,24,14,21,24,5,1,10,12,20,7,2,19,0,0,1,4,8,4,2,10,9,13,0,1,1,1,2,3,5,0,1,2,0,1,0,0,1,3,0,2,2,0,0,2,0,4
FR,France,Ajaccio,48,73283,66809.0,Q40104,41.926399100000005,8.7376029,59,12,24,28,54,17,19,5,11,8,12,16,2,2,0,11,0,0,4,3,3,12,4,4,20,3,0,1,11,1,1,7,13,1,0,2,0,5,2,0,5,1,1,0,1,3,0,2,3,1
FR,France,Troyes,49,414972,60280.0,Q5489,48.2971626,4.0746257,177,19,64,127,68,6,12,19,21,155,16,28,130,6,19,64,4,1,1,7,5,34,3,17,6,4,0,3,4,1,1,5,20,4,4,3,0,5,9,0,4,2,1,2,10,13,0,4,0,2
FR,France,Chartres,50,276905,38889.0,Q130272,48.4470039,1.4866386999999999,73,15,32,88,40,5,6,16,18,86,27,11,32,6,8,9,0,0,4,4,4,11,1,6,1,0,0,8,1,1,2,2,7,3,1,2,0,2,1,0,24,1,2,2,0,7,0,1,1,2
FR,France,Papeete,51,5829526,26050.0,Q130800,-17.538401399999998,-149.5661868,47,16,18,0,36,9,7,16,12,0,2,9,0,9,4,0,1,0,0,0,1,6,9,8,1,2,0,0,0,0,0,1,3,2,0,0,0,0,2,0,0,1,3,0,0,0,0,1,0,0
FR,France,Koumac,52,378435,3690.0,Q9725,-20.561359600000003,164.2811715,19,1,2,0,4,4,1,2,3,0,1,1,0,0,1,0,1,0,0,1,1,0,2,1,3,1,0,0,12,1,2,1,7,3,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0
FR,France,La Foa,53,378407,3323.0,Q9727,-21.709920999999998,165.8261772,8,1,2,0,8,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1
