count,description,fraction,in_wiki,value
1916,"A centre of fraternities, sororities, professional societies, union halls and other nonprofit organization.",0.0002,True,social_centre
1875,A shelter for animal recovery,0.0001,True,animal_shelter
1823,A home for elderly persons.,0.0001,True,retirement_home
1822,"A facility where animals are bred, usually to sell them",0.0001,True,animal_breeding
1790,,0.0001,True,sauna
1790,A place where you can rent a boat.,0.0001,True,boat_rental
1741,An active monastery (function),0.0001,True,monastery
1661,Government vehicle inspection,0.0001,True,vehicle_inspection
1654,A public place where people come to wash their clothes manually,0.0001,True,lavoir
1546,"An official building housing police, visitor information, permit services, etc.",0.0001,True,ranger_station
1502,A device which validates public transport tickets,0.0001,True,ticket_validator
1454,Music school,0.0001,True,music_school
1339,"A foot bath is a shallow pool, often with handrail.",0.0001,True,kneipp_water_cure
1303,A facility where one can bring his/her pet to be taken care of for a specific time (e.g. holiday),0.0001,True,animal_boarding
1301,,0.0001,True,office
1237,"A location that accepts, consolidates and transfers waste in bulk, usually from government or commercial collections.",0.0001,True,waste_transfer_station
1203,A place where animals are fed like a manger or an automated feeding station.,0.0001,True,feeding_place
1185,,0.0001,False,yes
1146,A large weight scale to weigh vehicles and goods,0.0001,True,weighbridge
1127,A love hotel is a type of short-stay hotel operated primarily for the purpose of allowing guests privacy for sexual activities.,0.0001,True,love_hotel
1082,"DISCOURAGED, use office=government + government=register_office instead.",0.0001,True,register_office
1056,"A tag for crematorium, where bodies are burned.",0.0001,True,crematorium
1016,"A place that offers money transfers, especially cash to cash",0.0001,True,money_transfer
988,,0.0001,True,garages
984,???,0.0001,True,water
981,"Riding stables, equestrian center",0.0001,True,stables
975,,0.0001,True,gym
935,dancing school/dance studio,0.0001,True,dancing_school
859,A place that offer striptease and lap dances.,0.0001,True,stripclub
795,A stand to create instant photos.,0.0001,True,photo_booth
791,???,0.0001,True,public_hall
783,???,0.0001,True,emergency_service
779,"A morgue or funeral home, used for the storage of human corpses",0.0001,True,mortuary
769,A place where people can go to work (might require a fee); not limited to a single employer,0.0001,True,coworking_space
751,Language school,0.0001,True,language_school
738,A structure near or at an international boundary where travelers and vehicles crossing the border are inspected.,0.0001,True,customs
714,A loading dock.,0.0001,True,loading_dock
694,A conference centre is a large building that is designed to hold a convention,0.0001,True,conference_centre
669,???,0.0001,True,refugee_housing
666,The base location where sports divers usually start scuba diving,0.0001,True,dive_centre
650,,0.0001,True,advertising
645,DO NOT USE! (ambiguous),0.0001,True,spa
639,Private mailboxes where mailmen or other people deposit letters to specific addresses.,0.0001,True,letter_box
623,,0.0,True,club
565,???,0.0,True,sanatorium
539,,0.0,False,social_club
499,To identify a designated smoking areas,0.0,True,smoking_area
489,,0.0,False,nameplate
457,,0.0,False,waste_basket;recycling
455,"A non-bank place, where people can pay bills of public and private services and taxes.",0.0,True,payment_centre
444,"A trolley bay / cart corral is the place where trolleys are ""parked""",0.0,True,trolley_bay
437,,0.0,False,picnic_table
434,,0.0,False,post_depot
431,,0.0,False,prep_school
429,A floating ring to throw out to someone who is struggling in water.,0.0,True,life_ring
428,,0.0,False,storage
423,A place where mothers can bring their newborn babies and leave them anonymously in a safe place to be found and cared for.,0.0,True,baby_hatch
409,,0.0,False,community_hall
408,,0.0,False,temple
404,,0.0,True,kiosk
403,A device used to clean by vacuum.,0.0,True,vacuum_cleaner
390,Used to refer to the rescue station (no fire brigade) or to administrative building of rescue service.,0.0,True,rescue_station
381,A public kitchen to use by everyone or customers.,0.0,True,kitchen
379,,0.0,True,dog_bin
377,A research institute is an establishment endowed for doing research.,0.0,True,research_institute
377,,0.0,True,nursery
374,,0.0,False,animal_training
365,,0.0,False,whirlpool
352,"A theatre built for presenting educational and entertaining shows about astronomy and the night sky, or for training in celestial navigation",0.0,True,planetarium
332,An example ramp.,0.0,True,vehicle_ramp
319,A public table,0.0,True,table
316,,0.0,False,building
316,,0.0,False,village_hall
309,,0.0,False,tricycle_station
308,,0.0,False,greenhouse
302,,0.0,False,house
299,,0.0,False,funeral_home
297,,0.0,False,relay_box
295,,0.0,True,alm
294,,0.0,False,sacco
294,In a swingerclub adult people meet to have a party and group sex.,0.0,True,swingerclub
293,???,0.0,True,bts
292,,0.0,False,cook_stove
288,,0.0,False,dormitory
285,An indoor place to hear live music,0.0,True,music_venue
269,,0.0,True,first_aid
268,,0.0,True,youth_centre
260,A place where one can cast a ballot.,0.0,True,polling_station
248,,0.0,False,public_service
247,,0.0,False,private_toilets
247,,0.0,True,ski_rental
247,,0.0,False,garage
245,,0.0,False,public_facility
245,,0.0,False,notice_board
241,"A ski school is an establishment that teaches skiing, typically in a ski resort.",0.0,True,ski_school
241,,0.0,False,mountain_rescue
240,,0.0,False,karaoke_box
237,,0.0,True,preschool
235,,0.0,False,scout_hut
229,,0.0,True,building_yard
225,,0.0,True,exhibition_centre
218,,0.0,False,trailer_park
211,"A place where guests can smoke hookah (aka waterpipe, nargile, shisha).",0.0,True,hookah_lounge
207,,0.0,False,auditorium
206,,0.0,False,market
204,,0.0,False,health_post
204,,0.0,False,court_yard
203,,0.0,False,boathouse
202,,0.0,False,scrapyard
196,,0.0,False,healthcare
191,,0.0,True,reception_desk
188,,0.0,True,disused
184,Place where public Administration is located,0.0,True,administration
182,Indicates the location of a boat to share.,0.0,True,boat_sharing
182,,0.0,False,washing_place
179,Hall designed for performances of live (usually classical) music.,0.0,True,concert_hall
178,,0.0,True,car_repair
178,,0.0,False,canteen
177,,0.0,False,self_storage
173,,0.0,False,tap
170,,0.0,True,community_center
168,,0.0,True,lifeboat_station
167,,0.0,False,mobile_money
165,,0.0,True,artwork
165,,0.0,False,lockers
161,,0.0,False,fraternity
161,,0.0,False,construction
160,,0.0,True,park
159,Hospice care is a type of care that focuses om terminally ill patients,0.0,True,hospice
158,,0.0,True,education
158,,0.0,False,church
157,,0.0,False,service
152,Describes public places that can be used for baking bread.,0.0,True,baking_oven
149,,0.0,False,health_facility
146,,0.0,True,ambulance_station
145,,0.0,False,warehouse
144,,0.0,False,sign
141,,0.0,False,health_centre
140,,0.0,False,luggage_locker
139,,0.0,False,garden
134,,0.0,False,cemetery
133,,0.0,False,hall
130,,0.0,False,parish_hall
127,,0.0,False,care_home
126,,0.0,True,winery
125,,0.0,False,club_house
125,,0.0,False,vacant
124,,0.0,False,wifi
124,,0.0,False,personal_service
123,,0.0,True,citymap_post
123,,0.0,False,licensed_club
122,,0.0,False,piano
121,,0.0,False,animal_feeding
120,,0.0,False,toy_library
119,,0.0,False,tomb
117,,0.0,True,harbourmaster
114,,0.0,False,beater
113,"Car pooling station or spot, where you meet to get in (or where you get dropped off) someone's car or to pick up (or drop off) someone.",0.0,True,car_pooling
113,,0.0,False,exhibition_hall
111,,0.0,False,reception_area
109,,0.0,False,public
107,,0.0,False,stage
106,,0.0,False,chapel
105,,0.0,False,plaza
104,,0.0,False,food
102,,0.0,True,ticket_booth
101,"DISCOURAGED, use the disused: key prefix instead.",0.0,True,proposed
100,,0.0,False,other
100,,0.0,False,church_hall
100,,0.0,False,medical_laboratory
99,,0.0,False,student_accommodation
98,A designated place for charging a mobile device.,0.0,True,device_charging_station
97,,0.0,False,nest_box
97,,0.0,False,charity
96,,0.0,False,clubhouse
96,,0.0,True,bell
96,A place dedicated for festivals - like song and dance festivals,0.0,True,festival_grounds
94,,0.0,False,public_office
93,Public Printer,0.0,True,printer
92,,0.0,False,massage
91,,0.0,True,coast_guard
90,,0.0,False,retail
89,,0.0,False,red_cross
88,,0.0,False,binoculars
88,,0.0,False,tutoring
87,,0.0,False,chiropractor
87,,0.0,False,bandstand
84,,0.0,False,events_centre
84,,0.0,False,check_in
84,,0.0,False,grass_strip
84,,0.0,True,security_booth
84,Just financial advice without a relation to a bank,0.0,True,financial_advice
83,,0.0,False,gallery
82,,0.0,False,osmica
81,,0.0,False,commercial
81,,0.0,True,culture_center
79,,0.0,False,physiotherapist
79,,0.0,False,laboratory
79,,0.0,False,bus_garage
79,,0.0,False,sport
78,,0.0,False,elevator
77,,0.0,False,border_control
76,Used to mark a mobile library stop point.,0.0,True,mobile_library
74,,0.0,False,adult_gaming_centre
73,,0.0,False,scout_hall
73,,0.0,False,Fontanile
73,,0.0,False,school;place_of_worship
73,,0.0,False,water_well
72,,0.0,False,dog_training
72,,0.0,False,locker
72,,0.0,False,job_centre
70,,0.0,True,exercise_point
70,,0.0,False,apartments
70,,0.0,False,bar;restaurant
70,,0.0,False,canal
69,,0.0,False,enclosing
69,,0.0,True,doctor
68,,0.0,False,solarium
68,,0.0,False,leisure
67,,0.0,False,well
67,,0.0,False,truck_stop
65,,0.0,False,company
65,"Place where you can rent kajaks, qayaks or canoes. Not always all of them.",0.0,True,canoe_hire
64,,0.0,False,ctc
64,,0.0,False,potty_area
64,,0.0,False,lifeboat
64,,0.0,False,creche
63,,0.0,False,farm
62,,0.0,False,podiatrist
62,,0.0,False,showers
62,,0.0,True,bus_stop
61,,0.0,False,workshop
61,,0.0,False,information
60,archive,0.0,True,archive
60,,0.0,False,industry
59,,0.0,False,fodder_rack
59,,0.0,False,physiotherapy
58,,0.0,False,parking_aisle
58,,0.0,False,public_prive
58,,0.0,False,billboard
58,"Crypt is a stone chamber or vault beneath the floor of a burial vault possibly containing sarcophagi, coffins or relics.",0.0,True,crypt
58,,0.0,False,factory
58,,0.0,True,courier
58,,0.0,False,lifeguard
58,,0.0,False,residential_home
57,"Laboratory-like facility(s), where animals are kept and studied",0.0,True,vivarium
57,,0.0,False,goverment_building
56,,0.0,False,WLAN
56,,0.0,False,community_information_kiosk
56,,0.0,False,sculpture
55,,0.0,False,aquaculture
55,,0.0,False,optician
54,,0.0,False,dog_toilet
53,,0.0,False,açude
53,,0.0,False,chair
53,,0.0,False,clothing_donation
53,,0.0,False,social_center
52,,0.0,False,shopping
51,,0.0,False,medical_centre
51,,0.0,False,convenience
51,,0.0,False,utc
51,,0.0,False,publisher
51,,0.0,False,exhibition_center
50,,0.0,False,parking_exit
50,,0.0,False,microfinance
50,,0.0,False,beer_garden
50,,0.0,False,Company
50,,0.0,False,flowerpot
49,,0.0,False,cold_storage
49,A communal meeting area used in Polynesian societies,0.0,True,marae
49,,0.0,False,laundry
49,,0.0,False,karaoke
48,,0.0,False,funeral_directors
48,,0.0,False,advice
47,,0.0,False,manhole_drain
47,,0.0,False,restaurant;cafe
46,,0.0,False,beauty
46,,0.0,False,cafeteria
45,,0.0,False,restaurant;bar
45,,0.0,False,square
45,,0.0,False,credit_institution
45,,0.0,False,checkpoint
44,,0.0,False,telephone_exchange
44,,0.0,False,disused_pub
44,,0.0,False,litter_bin
44,,0.0,False,meeting_point
44,,0.0,False,recreation_ground
43,,0.0,False,bus_depot
43,,0.0,False,barefootpath
43,,0.0,False,tourism
43,,0.0,False,changing_room
42,,0.0,False,Kitchen
42,,0.0,False,pool
42,,0.0,False,art_gallery
42,,0.0,False,industrial
42,A seat.,0.0,True,seat
41,,0.0,False,no
41,,0.0,False,snack_cart
40,,0.0,False,optometrist
40,,0.0,False,child_care
40,,0.0,False,former_pub
40,,0.0,False,manhole
39,,0.0,False,resort
39,,0.0,False,banquet_hall
38,,0.0,False,storage_rental
38,,0.0,False,post_pickup
37,,0.0,False,bleachers
37,,0.0,True,rescue_box
37,,0.0,False,fixme
37,,0.0,False,education_centre
37,,0.0,False,scout_camp
37,,0.0,False,art_school
37,,0.0,False,deer_feeding
37,,0.0,False,jeepney_station
36,,0.0,False,motel
36,,0.0,False,hitching_post
36,,0.0,False,insurance
36,,0.0,False,low-income housing
36,,0.0,False,lifebuoy
36,,0.0,False,bench;waste_basket
35,,0.0,False,wlan
35,,0.0,False,hydrant
35,,0.0,True,jobcentre
35,,0.0,False,chairs
35,,0.0,False,government
35,,0.0,False,brewery
35,,0.0,False,health_center
34,,0.0,False,private_toilet
34,,0.0,False,estate_agent
34,,0.0,False,tec_common
34,,0.0,False,convention_centre
33,,0.0,False,communal_cooking_area
33,,0.0,False,orphanage
33,,0.0,False,rental
33,A station doing radar surveillance of coastal areas and waterways.,0.0,True,coast_radar_station
33,,0.0,False,post_locker
32,,0.0,False,observatory
32,,0.0,False,pipe
32,,0.0,False,mall
32,,0.0,False,microfinance_bank
32,,0.0,False,cafe;restaurant
32,,0.0,False,ashtray
32,,0.0,False,horse_parking
32,,0.0,False,lamp
31,,0.0,False,catering
31,,0.0,False,cro
31,,0.0,False,ground_sign
31,,0.0,False,swings
31,,0.0,False,hostel
31,,0.0,False,pitch
31,,0.0,False,cargo
31,,0.0,False,faculty
30,,0.0,False,cabins
30,,0.0,False,building_entrance
30,,0.0,False,different
29,,0.0,False,market_place
29,,0.0,False,kot
29,,0.0,False,lsd
29,,0.0,False,delivery_office
29,,0.0,False,research_institution
28,,0.0,False,money_lender
28,,0.0,False,science_park
28,,0.0,False,vending_machine;waste_basket
28,,0.0,False,school;kindergarten
28,,0.0,False,farmland
28,,0.0,False,employment_agency
28,,0.0,False,closed
28,,0.0,False,supermarket
28,,0.0,False,foot_shower
28,,0.0,False,academy
28,,0.0,False,reuse
28,,0.0,False,pawnbroker
28,"Healthcare professional specialized in identifying, diagnosing, treating and monitoring diseases of the audition",0.0,True,audiologist
27,,0.0,False,trade_school
27,,0.0,False,amphitheatre
27,,0.0,False,equipment_rental
27,,0.0,False,pub;restaurant
27,,0.0,False,Government
27,,0.0,False,washingline
27,,0.0,False,shed
27,,0.0,False,parking_lane
27,,0.0,False,cattery
27,,0.0,False,common
26,,0.0,False,milestone
26,,0.0,False,toilets;shower
26,,0.0,False,bin
26,,0.0,False,map
26,,0.0,False,showcase
26,,0.0,False,carpet_washing
26,,0.0,True,yacht_club
26,,0.0,False,teahouse
26,,0.0,False,tourist
26,,0.0,False,museum
26,,0.0,False,weigh_station
26,,0.0,False,wildlife_feeding
