name,place,population,wikidata,lat,lon
Gars am Kamp,town,1804.0,,48.5951053,15.6594592
Traismauer,town,1553.0,,48.3499106,15.7441868
Liezen,town,6803.0,,47.567685,14.2420508
Götzis,town,10994.0,Q698573,47.3351291,9.6440092
Groß Gerungs,town,4737.0,,48.5731094,14.9570948
Tamsweg,town,3606.0,,47.1261065,13.8103817
Straßburg,town,,,46.8957388,14.3314013
Gurk,town,861.0,,46.8751209,14.2897692
Hermagor,town,1527.0,,46.6268076,13.3702382
Völkermarkt,town,4859.0,,46.6604246,14.6340505
Radstadt,town,4826.0,,47.3868388,13.4648985
Judenburg,town,9514.0,,47.1694082,14.6601079
Zeltweg,town,7327.0,,47.1912045,14.7549244
Knittelfeld,town,,,47.2134435,14.832071
Kindberg,town,5546.0,,47.5049711,15.4498601
Lienz,town,12077.0,,46.8298662,12.7681269
Maishofen,town,1434.0,,47.3625355,12.8047357
Schladming,town,3597.0,Q254221,47.3940415,13.6867878
Braunau am Inn,town,16380.0,Q131128,48.253136,13.039506
Völs,town,6713.0,,47.2537082,11.323817
Jenbach,town,7021.0,,47.3915387,11.7717443
Ternitz,town,14823.0,Q659984,47.7066007,16.0194688
Grödig,town,4124.0,,47.7401445,13.0394938
Bruck an der Großglocknerstraße,town,4424.0,,47.2839827,12.823909
Flachau,town,753.0,,47.3438501,13.3922888
Strobl,town,,,47.7170199,13.4835153
Drosendorf,town,522.0,,48.8693905,15.6142642
Rankweil,town,11525.0,,47.2703808,9.6426923
Sankt Martin am Tennengebirge,town,856.0,,47.4665844,13.3833264
Wald im Pinzgau,town,65.0,,47.2461482,12.2281925
Wieselburg,town,3489.0,,48.1298877,15.1376585
Vils,town,1638.0,Q26340,47.5493283,10.6304727
Koppl,town,3093.0,,47.8078354,13.1554315
St. Leonhard am Forst,town,753.0,,48.141625,15.2861686
Obertrum am See,town,4567.0,,47.9380101,13.0752378
Anif,town,1780.0,,47.7497338,13.0638706
St. Pölten,town,52716.0,Q82500,48.2043985,15.6229118
Ostermiething,town,3021.0,,48.0459363,12.8303402
Wolkersdorf im Weinviertel,town,3359.0,,48.3829773,16.5181068
Marchegg,town,2118.0,Q546273,48.2778951,16.9097882
Golling an der Salzach,town,3990.0,Q527800,47.6,13.1666667
Retz,town,2529.0,,48.7569663,15.9511119
Mühlbach,town,502.0,,47.2764232,12.3772461
Ober-Grafendorf,town,3189.0,,48.1500368,15.5438089
Bad Radkersburg,town,1474.0,,46.6880556,15.9880546
Sillian,town,2086.0,Q687344,46.7472874,12.4180291
Steinach am Brenner,town,3314.0,,47.0907467,11.4665722
Bergheim,town,4817.0,,47.8408541,13.0221612
Altenmarkt im Pongau,town,3628.0,,47.3834209,13.4162997
Schrems,town,3455.0,,48.7934169,15.0690038
Matrei am Brenner,town,902.0,,47.1312496,11.4536634
Piesendorf,town,1918.0,,47.2909045,12.7168048
Mauterndorf,town,1782.0,,47.1338713,13.6797275
Wals-Siezenheim,town,11450.0,,47.7986,12.9807
Saalbach,town,1947.0,,47.3914586,12.6364473
Taxenbach,town,934.0,Q700419,47.2927486,12.9636281
Zirl,town,6796.0,,47.2740721,11.2412137
St. Gilgen,town,3735.0,,47.7676379,13.3643533
Neumarkt am Wallersee,town,3741.0,,47.9450169,13.2253002
Sankt Wolfgang im Salzkammergut,town,632.0,,47.7378747,13.448274
Traiskirchen,town,18000.0,Q659950,48.0138858,16.2952311
Gmünd,town,1547.0,Q660580,46.9065611,13.5359844
Hartberg,town,3920.0,,47.2809371,15.9691769
St. Valentin,town,2997.0,,48.1746466,14.5319725
Hof bei Salzburg,town,3422.0,,47.8197109,13.2130752
Straßburg,town,2138.0,Q660945,46.8955368,14.3313853
Velden am Wörther See,town,8952.0,Q660687,46.6151882,14.0450583
Werfen,town,3148.0,,47.4757761,13.1888872
Großarl,town,3766.0,Q700457,47.2374042,13.2013974
Fulpmes,town,4200.0,,47.1530754,11.3490049
Uttendorf,town,1607.0,,47.2851464,12.5711475
Fischamend,town,4416.0,,48.1179472,16.6124745
Reutte,town,5719.0,,47.4891092,10.7187955
Zwettl,town,4003.0,,48.6050427,15.1681644
Rauris,town,1124.0,,47.2290446,12.9949295
Mödling,town,20619.0,Q277965,48.0855922,16.2833526
Sankt Veit im Pongau,town,1586.0,Q259188,47.3291614,13.1542777
Laakirchen,town,9600.0,,47.9825598,13.8225156
Ansfelden,town,16240.0,Q257130,48.2094498,14.2901754
Seekirchen am Wallersee,town,2427.0,,47.8942481,13.1260778
Weiz,town,8799.0,,47.2174206,15.6221694
Wagrain,town,504.0,Q265886,47.3336293,13.3031532
Sankt Veit an der Glan,town,,,46.7672814,14.3576981
Hohenau an der March,town,2737.0,Q660761,48.6064895,16.9020685
Trofaiach,town,8385.0,,47.4256001,15.0091479
Rußbach am Paß Gschütt,town,820.0,,47.5875291,13.4607833
Ferlach,town,7450.0,Q610514,46.5265324,14.3006203
Sankt Johann im Pongau,town,11000.0,,47.3475782,13.2026049
Güssing,town,3836.0,,47.058765,16.3243364
Lilienfeld,town,495.0,,48.0149797,15.5966191
Elsbethen,town,2984.0,,47.7592351,13.0825458
Traun,town,10627.0,Q260176,48.2214369,14.2368078
Hopfgarten im Brixental,town,5365.0,,47.4504996,12.1558791
Sölden,town,3488.0,Q570486,46.9673961,11.0070193
Bad Sankt Leonhard im Lavanttal,town,4386.0,Q660781,46.9646368,14.7887727
Hohenems,town,15579.0,Q698591,47.3639973,9.689271
Steyr,town,38344.0,Q260320,48.0390046,14.4191276
Henndorf am Wallersee,town,3742.0,,47.8994623,13.1882214
Werfenweng,town,819.0,,47.4623419,13.2531614
Gänserndorf,town,10830.0,Q259579,48.3404132,16.7184526
Mariapfarr,town,2292.0,,47.1513091,13.7456747
Anthering,town,1406.0,,47.8801316,13.012279
Fuschl am See,town,643.0,,47.7963895,13.3027787
Rechnitz,town,3237.0,Q255604,47.3049295,16.4408715
Mühlbach am Hochkönig,town,1569.0,Q255417,47.3761503,13.1249445
Mayrhofen,town,3883.0,Q668214,47.1672188,11.8638664
Neunkirchen,town,9974.0,Q265948,47.7221472,16.0815913
Wilhelmsburg,town,6660.0,,48.1051461,15.6057534
Breitenfurt,town,5323.0,,48.1349111,16.1697481
Freistadt,town,7445.0,,48.5112961,14.5047566
Mattsee,town,3114.0,,47.9699824,13.1026633
Pressbaum,town,7451.0,,48.1792064,16.077089
Leonding,town,4297.0,Q487958,48.2793314,14.2487457
Mannersdorf am Leithagebirge,town,3731.0,,47.9744822,16.6037964
St. Michael im Lungau,town,3630.0,,47.0989566,13.6376823
Lamprechtshausen,town,1128.0,,47.9926148,12.9554913
Hainburg,town,6208.0,Q752107,48.1479615,16.9409316
Eferding,town,3521.0,,48.3082607,14.0203999
Ehrwald,town,2554.0,,47.3986534,10.9205046
Steyregg,town,5017.0,,48.2854468,14.3718463
Vöcklabruck,town,11972.0,Q251325,48.0078587,13.6460378
Althofen,town,4950.0,,46.871383,14.4698793
Loosdorf,town,2732.0,,48.2004159,15.4020198
Bludenz,town,10618.0,Q494504,47.153037,9.8219314
Unken,town,371.0,,47.6511097,12.7303379
Ebreichsdorf,town,9194.0,Q646396,47.962254,16.4029664
Thalgau,town,1986.0,,47.8414905,13.2535481
Faistenau,town,,,47.7781258,13.2337735
Goldegg im Pongau,town,2283.0,Q278432,47.3187493,13.1028812
Lustenau,town,22214.0,Q488315,47.4276538,9.6599406
Pernitz,town,2478.0,Q672797,47.8977953,15.9596373
Kleinarl,town,686.0,,47.2781056,13.3187589
Groß-Enzersdorf,town,8532.0,,48.2018,16.5519598
Schwarzach im Pongau,town,3526.0,Q253179,47.3211088,13.151022
Bad Ischl,town,14088.0,,47.7115299,13.6239333
Dienten am Hochkönig,town,801.0,,47.3817781,13.0027538
Neustift im Stubaital,town,4600.0,,47.1106408,11.307579
Bad Hall,town,4727.0,Q259086,48.0348017,14.2091385
Mattighofen,town,5287.0,,48.1030792,13.1503106
Wattens,town,7503.0,,47.2935786,11.5907326
Feldkirchen in Kärnten,town,14294.0,Q507533,46.7229178,14.0964965
Eben im Pongau,town,1374.0,,47.4108191,13.393723
Matrei in Osttirol,town,2466.0,Q261697,47.0,12.5333333
Bramberg am Wildkogel,town,3897.0,,47.2727902,12.3473963
Wolfsberg,town,25045.0,Q487527,46.8390583,14.8452061
Brixlegg,town,2840.0,,47.4302395,11.8772297
Gloggnitz,town,6062.0,Q679328,47.6757858,15.9374085
Schwechat,town,,Q489972,48.1397436,16.4780312
Nußdorf am Haunsberg,town,761.0,,47.9595607,13.0089196
Zell am Ziller,town,1723.0,,47.2333511,11.8835869
Straßwalchen,town,6842.0,,47.9802351,13.2548601
Marchtrenk,town,12951.0,,48.1907992,14.1117625
Rum,town,8352.0,,47.2858272,11.4582993
Sankt Andrä,town,582.0,,46.7661111,14.8236111
Gföhl,town,1888.0,,48.516723,15.4907452
Krems an der Donau,town,12500.0,Q131266,48.4108382,15.6003717
Langenlois,town,4272.0,Q672511,48.472601,15.676295
Bad Hofgastein,town,6726.0,,47.1703104,13.1060635
Zell am Moos,town,,,47.9024754,13.3187889
Schwanenstadt,town,,,48.0545249,13.7749232
Niedernsill,town,2434.0,,47.281591,12.6489031
Deutsch-Wagram,town,7830.0,,48.2959872,16.5568452
Klosterneuburg,town,26816.0,Q487522,48.30499,16.323756
Saalfelden am Steinernen Meer,town,16235.0,Q183228,47.4266166,12.8481048
Bürmoos,town,4820.0,Q701183,47.9837357,12.9233739
Oberndorf bei Salzburg,town,5578.0,,47.9394115,12.9422427
Kitzbühel,town,8574.0,,47.4463585,12.3911473
Bischofshofen,town,7134.0,,47.4167454,13.2168008
Abtenau,town,5927.0,,47.5642319,13.3460333
Hall in Tirol,town,10991.0,Q302745,47.2816648,11.5075337
Hallein,town,20768.0,,47.6821521,13.0956313
Bregenz,town,29562.0,Q1737,47.5025779,9.7472924
Bleiburg/Pliberk,town,1339.0,,46.5901133,14.7989915
Schwaz,town,13058.0,Q583485,47.3449529,11.7084253
Bad Gastein,town,4400.0,,47.1138985,13.1349354
Attnang-Puchheim,town,8839.0,Q261216,48.0114566,13.7210848
Feldbach,town,13114.0,,46.9525777,15.8887826
Rohrbach-Berg,town,5075.0,,48.5743347,13.9888686
Pfarrwerfen,town,2188.0,Q685809,47.4570287,13.205675
Hollersbach im Pinzgau,town,1201.0,,47.2745013,12.4195683
Gratwein-Straßengel,town,13000.0,,47.1231264,15.3304611
